表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
。,記号,句点,*,*,*,*,。,。,。
いくばく,副詞,一般,*,*,*,*,いくばく,イクバク,イクバク
も,助詞,係助詞,*,*,*,*,も,モ,モ
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
官,名詞,一般,*,*,*,*,官,カン,カン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
退い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,退く,シリゾイ,シリゾイ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
後,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
故山,名詞,一般,*,*,*,*,故山,コザン,コザン
、,記号,読点,*,*,*,*,、,、,、
虢略,名詞,一般,*,*,*,*,虢略,虢略,虢略
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
帰臥,名詞,サ変接続,*,*,*,*,帰臥,キガ,キガ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、,記号,読点,*,*,*,*,、,、,、
人,名詞,一般,*,*,*,*,人,ヒト,ヒト
と,助詞,並立助詞,*,*,*,*,と,ト,ト
交,名詞,一般,*,*,*,*,交,交,交
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
絶っ,動詞,自立,*,*,五段・タ行,連用タ接続,絶つ,タッ,タッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
ひたすら,副詞,一般,*,*,*,*,ひたすら,ヒタスラ,ヒタスラ
詩作,名詞,サ変接続,*,*,*,*,詩作,シサク,シサク
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
耽っ,動詞,自立,*,*,五段・ラ行,連用タ接続,耽る,フケッ,フケッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
下,接頭詞,数接続,*,*,*,*,下,シモ,シモ
吏,名詞,一般,*,*,*,*,吏,吏,吏
と,助詞,格助詞,一般,*,*,*,と,ト,ト
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
長く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,長い,ナガク,ナガク
膝,名詞,一般,*,*,*,*,膝,ヒザ,ヒザ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
俗悪,名詞,形容動詞語幹,*,*,*,*,俗悪,ゾクアク,ゾクアク
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
大官,名詞,一般,*,*,*,*,大官,タイカン,タイカン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
屈する,動詞,自立,*,*,サ変・−スル,基本形,屈する,クッスル,クッスル
より,助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
詩家,名詞,一般,*,*,*,*,詩家,シカ,シカ
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
名,名詞,一般,*,*,*,*,名,ナ,ナ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
死後,名詞,副詞可能,*,*,*,*,死後,シゴ,シゴ
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
遺そ,動詞,自立,*,*,五段・サ行,未然ウ接続,遺す,ノコソ,ノコソ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
文名,名詞,一般,*,*,*,*,文名,ブンメイ,ブンメイ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
容易,名詞,形容動詞語幹,*,*,*,*,容易,ヨウイ,ヨーイ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
揚ら,動詞,自立,*,*,五段・ラ行,未然形,揚る,アガラ,アガラ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、,記号,読点,*,*,*,*,、,、,、
生活,名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
日,名詞,一般,*,*,*,*,日,ヒ,ヒ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
逐う,動詞,自立,*,*,五段・ワ行促音便,基本形,逐う,オウ,オウ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
苦しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,苦しい,クルシク,クルシク
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。,記号,句点,*,*,*,*,。,。,。
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
漸く,副詞,一般,*,*,*,*,漸く,ヨウヤク,ヨーヤク
焦躁,名詞,サ変接続,*,*,*,*,焦躁,ショウソウ,ショーソー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
駆ら,動詞,自立,*,*,五段・ラ行,未然形,駆る,カラ,カラ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
この,連体詞,*,*,*,*,*,この,コノ,コノ
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
容貌,名詞,一般,*,*,*,*,容貌,ヨウボウ,ヨーボー
も,助詞,係助詞,*,*,*,*,も,モ,モ
峭刻,名詞,一般,*,*,*,*,峭刻,峭刻,峭刻
と,助詞,格助詞,一般,*,*,*,と,ト,ト
なり,動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、,記号,読点,*,*,*,*,、,、,、
肉,名詞,一般,*,*,*,*,肉,ニク,ニク
落ち,名詞,接尾,一般,*,*,*,落ち,オチ,オチ
骨,名詞,接尾,一般,*,*,*,骨,ボネ,ボネ
秀で,動詞,自立,*,*,一段,連用形,秀でる,ヒイデ,ヒイデ
、,記号,読点,*,*,*,*,、,、,、
眼光,名詞,一般,*,*,*,*,眼光,ガンコウ,ガンコー
のみ,助詞,副助詞,*,*,*,*,のみ,ノミ,ノミ
徒,名詞,一般,*,*,*,*,徒,ト,ト
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
炯々,名詞,一般,*,*,*,*,炯々,ケイケイ,ケイケイ
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、,記号,読点,*,*,*,*,、,、,、
曾,名詞,一般,*,*,*,*,曾,曾,曾
て,助詞,格助詞,連語,*,*,*,て,テ,テ
進士,名詞,一般,*,*,*,*,進士,シンシ,シンシ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
登,名詞,一般,*,*,*,*,登,トウ,トー
第,接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
豊頬,名詞,一般,*,*,*,*,豊頬,ホウキョウ,ホーキョー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
美少年,名詞,一般,*,*,*,*,美少年,ビショウネン,ビショーネン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
俤,名詞,一般,*,*,*,*,俤,オモカゲ,オモカゲ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
何処,名詞,代名詞,一般,*,*,*,何処,ドコ,ドコ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
求め,動詞,自立,*,*,一段,連用形,求める,モトメ,モトメ
よう,名詞,接尾,一般,*,*,*,よう,ヨウ,ヨー
も,助詞,係助詞,*,*,*,*,も,モ,モ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
数,名詞,数,*,*,*,*,数,スウ,スー
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
後,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
、,記号,読点,*,*,*,*,、,、,、
貧窮,名詞,一般,*,*,*,*,貧窮,ヒンキュウ,ヒンキュー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
堪え,動詞,自立,*,*,一段,未然形,堪える,コタエ,コタエ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、,記号,読点,*,*,*,*,、,、,、
妻子,名詞,一般,*,*,*,*,妻子,サイシ,サイシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
衣食,名詞,一般,*,*,*,*,衣食,イショク,イショク
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
遂に,副詞,一般,*,*,*,*,遂に,ツイニ,ツイニ
節,名詞,一般,*,*,*,*,節,フシ,フシ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
屈し,動詞,自立,*,*,五段・サ行,連用形,屈す,クッシ,クッシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
再び,副詞,助詞類接続,*,*,*,*,再び,フタタビ,フタタビ
東,名詞,一般,*,*,*,*,東,ヒガシ,ヒガシ
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ
赴き,動詞,自立,*,*,五段・カ行イ音便,連用形,赴く,オモムキ,オモムキ
、,記号,読点,*,*,*,*,、,、,、
一,名詞,数,*,*,*,*,一,イチ,イチ
地方,名詞,一般,*,*,*,*,地方,チホウ,チホー
官吏,名詞,一般,*,*,*,*,官吏,カンリ,カンリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
職,名詞,一般,*,*,*,*,職,ショク,ショク
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
奉ずる,動詞,自立,*,*,サ変・−ズル,基本形,奉ずる,ホウズル,ホーズル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
一方,接続詞,*,*,*,*,*,一方,イッポウ,イッポー
、,記号,読点,*,*,*,*,、,、,、
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
詩,名詞,一般,*,*,*,*,詩,シ,シ
業,名詞,接尾,一般,*,*,*,業,ギョウ,ギョー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
半ば,名詞,副詞可能,*,*,*,*,半ば,ナカバ,ナカバ
絶望,名詞,サ変接続,*,*,*,*,絶望,ゼツボウ,ゼツボー
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ため,名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
も,助詞,係助詞,*,*,*,*,も,モ,モ
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。,記号,句点,*,*,*,*,。,。,。
曾,名詞,一般,*,*,*,*,曾,曾,曾
て,助詞,格助詞,連語,*,*,*,て,テ,テ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
同輩,名詞,一般,*,*,*,*,同輩,ドウハイ,ドーハイ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
既に,副詞,一般,*,*,*,*,既に,スデニ,スデニ
遥か,名詞,形容動詞語幹,*,*,*,*,遥か,ハルカ,ハルカ
高位,名詞,形容動詞語幹,*,*,*,*,高位,コウイ,コーイ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
進み,動詞,自立,*,*,五段・マ行,連用形,進む,ススミ,ススミ
、,記号,読点,*,*,*,*,、,、,、
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
昔,名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ
、,記号,読点,*,*,*,*,、,、,、
鈍物,名詞,一般,*,*,*,*,鈍物,ドンブツ,ドンブツ
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
歯牙,名詞,一般,*,*,*,*,歯牙,シガ,シガ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
も,助詞,係助詞,*,*,*,*,も,モ,モ
かけ,動詞,自立,*,*,一段,未然形,かける,カケ,カケ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
連中,名詞,一般,*,*,*,*,連中,レンチュウ,レンチュー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
下命,名詞,サ変接続,*,*,*,*,下命,カメイ,カメイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
拝,名詞,サ変接続,*,*,*,*,拝,ハイ,ハイ
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
ね,助動詞,*,*,*,特殊・ヌ,仮定形,ぬ,ネ,ネ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
往年,名詞,一般,*,*,*,*,往年,オウネン,オーネン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
儁才李,名詞,一般,*,*,*,*,儁才李,儁才李,儁才李
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
自尊心,名詞,一般,*,*,*,*,自尊心,ジソンシン,ジソンシン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
如何,名詞,形容動詞語幹,*,*,*,*,如何,イカガ,イカガ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
傷,名詞,一般,*,*,*,*,傷,キズ,キズ
けた,名詞,接尾,助数詞,*,*,*,けた,ケタ,ケタ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
想像,名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
難く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,難い,カタク,カタク
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
怏々,名詞,一般,*,*,*,*,怏々,オウオウ,オーオー
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
楽しま,動詞,自立,*,*,五段・マ行,未然形,楽しむ,タノシマ,タノシマ
ず,助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、,記号,読点,*,*,*,*,、,、,、
狂,名詞,サ変接続,*,*,*,*,狂,キョウ,キョー
悖,動詞,自立,*,*,五段・ラ行,体言接続特殊２,悖る,モト,モト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
性,名詞,一般,*,*,*,*,性,セイ,セイ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
愈々,副詞,一般,*,*,*,*,愈々,イヨイヨ,イヨイヨ
抑え,動詞,自立,*,*,一段,連用形,抑える,オサエ,オサエ
難く,形容詞,非自立,*,*,形容詞・アウオ段,連用テ接続,難い,ガタク,ガタク
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
一,名詞,数,*,*,*,*,一,イチ,イチ
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
後,名詞,非自立,副詞可能,*,*,*,後,ノチ,ノチ
、,記号,読点,*,*,*,*,、,、,、
公用,名詞,一般,*,*,*,*,公用,コウヨウ,コーヨー
で,助詞,格助詞,一般,*,*,*,で,デ,デ
旅,名詞,サ変接続,*,*,*,*,旅,タビ,タビ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ
、,記号,読点,*,*,*,*,、,、,、
汝,名詞,一般,*,*,*,*,汝,ナンジ,ナンジ
水,名詞,接尾,一般,*,*,*,水,スイ,スイ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ほとり,名詞,一般,*,*,*,*,ほとり,ホトリ,ホトリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
宿っ,動詞,自立,*,*,五段・ラ行,連用タ接続,宿る,ヤドッ,ヤドッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
遂に,副詞,一般,*,*,*,*,遂に,ツイニ,ツイニ
発狂,名詞,サ変接続,*,*,*,*,発狂,ハッキョウ,ハッキョー
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
或,連体詞,*,*,*,*,*,或,アル,アル
夜半,名詞,副詞可能,*,*,*,*,夜半,ヤハン,ヤハン
、,記号,読点,*,*,*,*,、,、,、
急,名詞,形容動詞語幹,*,*,*,*,急,キュウ,キュー
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
顔色,名詞,一般,*,*,*,*,顔色,カオイロ,カオイロ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
変え,動詞,自立,*,*,一段,連用形,変える,カエ,カエ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
寝床,名詞,一般,*,*,*,*,寝床,ネドコ,ネドコ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
起,名詞,固有名詞,地域,一般,*,*,起,オコシ,オコシ
上る,動詞,自立,*,*,五段・ラ行,基本形,上る,ノボル,ノボル
と,助詞,接続助詞,*,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
訳,名詞,接尾,一般,*,*,*,訳,ヤク,ヤク
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
叫び,動詞,自立,*,*,五段・バ行,連用形,叫ぶ,サケビ,サケビ
つつ,助詞,接続助詞,*,*,*,*,つつ,ツツ,ツツ
そのまま,副詞,一般,*,*,*,*,そのまま,ソノママ,ソノママ
下,名詞,一般,*,*,*,*,下,シタ,シタ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
とび,動詞,自立,*,*,五段・バ行,連用形,とぶ,トビ,トビ
下り,動詞,自立,*,*,一段,連用形,下りる,オリ,オリ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
闇,名詞,一般,*,*,*,*,闇,ヤミ,ヤミ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ
駈,動詞,自立,*,*,五段・ラ行,体言接続特殊２,駈る,カ,カ
出し,動詞,非自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
二度と,副詞,一般,*,*,*,*,二度と,ニドト,ニドト
戻っ,動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
来,動詞,非自立,*,*,カ変・来ル,未然形,来る,コ,コ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
附近,名詞,一般,*,*,*,*,附近,フキン,フキン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
山野,名詞,一般,*,*,*,*,山野,サンヤ,サンヤ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
捜索,名詞,サ変接続,*,*,*,*,捜索,ソウサク,ソーサク
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
も,助詞,係助詞,*,*,*,*,も,モ,モ
、,記号,読点,*,*,*,*,、,、,、
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
手掛り,名詞,一般,*,*,*,*,手掛り,テガカリ,テガカリ
も,助詞,係助詞,*,*,*,*,も,モ,モ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
その後,名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
知る,動詞,自立,*,*,五段・ラ行,基本形,知る,シル,シル
者,名詞,非自立,一般,*,*,*,者,モノ,モノ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
